Title,Author,Series,Status,ISBN,Rating,Owned,title,publish_date,publishers,pages,subjects,description,rating,author,Genre,Subgenre
Wrong Place Wrong Time,Gillian McAllister,,Read,9780063252356,4,Yes,Wrong Place Wrong Time,23-May-23,"['Not Avail', 'HarperCollins Publishers']",,,,3.97,,Thriller,"Mystery, Time Travel"
The Dictionary of Lost Words,Pip Williams,,Read,9781984820747,4.25,Yes,Dictionary of Lost Words,2022,['Random House Publishing Group'],416,"['English literature', 'nyt:trade-fiction-paperback=2022-05-22', 'New York Times bestseller']",,4.02,Pip Williams,Historical Fiction,Literary Fiction
The Couple Next Door,Shari Lapena,,Read,9780735221109,3.75,Yes,Couple Next Door,2017,"['Penguin Publishing Group', 'Penguin Books']",336,"['Neighbors', 'Family secrets', 'Married people', 'Fiction', 'Contemporary Women', 'Family life', 'FICTION', 'Literary', 'Secrecy', 'Married people, fiction', 'Fiction, family life', 'Fiction, suspense', 'Fiction, mystery & detective, general', 'nyt:hardcover-fiction=2016-09-18', 'New York Times bestseller', 'Fiction, family life, general', 'Fiction, thrillers, suspense']",,4.25,Shari Lapena,Thriller,Psychological Thriller
Circe,Madeline Miller,,Want to Read,9780316556323,,Yes,Circe,14-Apr-20,['Back Bay Books'],416,"['Fantasy', 'Mythology', 'Historical Fiction', 'Retellings', 'Gods', 'Fiction', 'Paranormal fiction', 'Fiction, fantasy, historical', 'nyt:combined-print-and-e-book-fiction=2018-04-29', 'New York Times bestseller', 'New York Times reviewed', 'nyt:audio-fiction=2018-05-13', 'Witches', 'Magic', 'Greek Mythology', 'Historical', 'Ancient', 'General', 'Literary', 'Witchcraft', 'Circe', 'Witches--fiction', 'Magic--fiction', 'Mythology, greek', 'Mythology, greek--fiction', 'Fiction / historical / ancient', 'Fiction / historical / general', 'Fiction / literary', 'Witchcraft--fiction', 'Gods--fiction', 'Animals, mythical', 'Animals, mythical--fiction', 'Circe (greek mythology)', 'Circe (greek mythology)--fiction', 'Ps3613.i5445 c57 2018b', '813/.6', 'Mythical Animals']","In the house of Helios, god of the sun and mightiest of the Titans, a daughter is born. But Circe is a strange child--not powerful, like her father, nor viciously alluring like her mother. Turning to the world of mortals for companionship, she discovers that she does possess power--the power of witchcraft, which can transform rivals into monsters and menace the gods themselves.

Threatened, Zeus banishes her to a deserted island, where she hones her occult craft, tames wild beasts and crosses paths with many of the most famous figures in all of mythology, including the Minotaur, Daedalus and his doomed son Icarus, the murderous Medea, and, of course, wily Odysseus.

But there is danger, too, for a woman who stands alone, and Circe unwittingly draws the wrath of both men and gods, ultimately finding herself pitted against one of the most terrifying and vengeful of the Olympians. To protect what she loves most, Circe must summon all her strength and choose, once and for all, whether she belongs with the gods she is born from, or the mortals she has come to love.

With unforgettably vivid characters, mesmerizing language and page-turning suspense, Circe is a triumph of storytelling, an intoxicating epic of family rivalry, palace intrigue, love and loss, as well as a celebration of indomitable female strength in a man's world.
([source][1])


  [1]: http://madelinemiller.com/circe/",4.131868132,Madeline Miller,Fantasy,"Mythological, Literary Fiction"
The Secret History,Donna Tart,,Read,9781400031702,2.75,Yes,The secret history,2004,['Vintage Contemporaries'],559,"['Fiction', 'College students', 'Teacher-student relationships', 'Classicists', 'Murder', 'Murderers', 'Detective and mystery stories', 'Fiction, psychological', 'College teachers, fiction', 'Vermont, fiction', 'American literature', 'Richard Papen (Fictitious character)', 'College stories', 'Psychological fiction', 'nyt:trade-fiction-paperback=2013-12-01', 'New York Times bestseller', 'Estudiantes universitarios', 'Novela', 'Asesinato', 'General', 'Spanish language materials', 'Materiales en espaÃ±ol', 'Ã‰tudiants', 'Romans, nouvelles', 'SpÃ©cialistes de lettres classiques', 'Meurtriers', 'Roman policier', 'Relations maitres-eleves', 'Meurtre', 'Etudiants']","Under the influence of their charismatic classics professor, a group of clever, eccentric misfits at an elite New England college discover a way of thinking and living that is a world away from the humdrum existence of their contemporaries. But when they go beyond the boundaries of normal morality they slip gradually from obsession to corruption and betrayal, and at last - inexorably - into evil.",4.057971014,Donna Tartt,Mystery,"Dark Acadmia, Psychological Thriller"
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,,Read,9781501161933,3.5,Yes,Seven Husbands of Evelyn Hugo,2018,['Washington Square Press'],400,"['Biographers', 'Fiction', 'Fiction, general', 'Hollywood (los angeles, calif.), fiction', 'nyt:trade-fiction-paperback=2021-01-31', 'New York Times bestseller', 'Fiction, romance, contemporary', 'Women journalists', 'Motion picture actors and actresses', 'Motion picture industry', 'Biography', 'Authorship', 'Man-woman relationships']","Aging and reclusive Hollywood movie icon Evelyn Hugo is finally ready to tell the truth about her glamorous and scandalous life. But when she chooses unknown magazine reporter Monique Grant for the job, no one is more astounded than Monique herself. Why her? Why now?

Monique is not exactly on top of the world. Her husband has left her, and her professional life is going nowhere. Regardless of why Evelyn has selected her to write her biography, Monique is determined to use this opportunity to jumpstart her career.

Summoned to Evelyn's luxurious apartment, Monique listens in fascination as the actress tells her story. From making her way to Los Angeles in the 1950s to her decision to leave show business in the '80s, and, of course, the seven husbands along the way, Evelyn unspools a tale of ruthless ambition, unexpected friendship, and a great forbidden love. Monique begins to feel a very real connection to the legendary star, but as Evelyn's story near its conclusion, it becomes clear that her life intersects with Monique's own in tragic and irreversible ways.

Written with Reid's signature talent for creating ""complex, likable characters"" (Real Simple), this is a mesmerizing journey through the splendor of old Hollywood into the harsh realities of the present day as two women struggle with what it meansâ€”and what it costsâ€”to face the truth",4.188311688,Taylor Jenkins Reid,Literary Fiction,"Romance, LGBTQ+"
A Deadly Education,Naomi Novik,,Read,9780593128503,4,Yes,A Deadly Education,4-May-21,['Del Rey'],336,"['American literature', 'nyt:hardcover-fiction=2020-10-18', 'New York Times bestseller', 'Fiction, fantasy, contemporary', 'Fiction, coming of age', 'Fiction, fantasy, epic', 'Fiction', 'Fantasy', 'Magic']",,4.136363636,Naomi Novik,Fantasy,"Dark Academia, Young Adult"
The Last Graduate,Naomi Novik,,Read,9780593128886,3.75,Yes,The Last Graduate,28-Jun-22,['Del Rey'],416,"['Fiction, fantasy, contemporary']",,4.23,Naomi Novik,Fantasy,"Dark Academia, Young Adult"
The Golden Enclaves,Naomi Novik,,Read,9780593158371,4,Yes,The Golden Enclaves,27-Jun-23,"['Del Rey', 'Random House Worlds']",432,"['Fiction, fantasy, contemporary', 'Fiction, fantasy, epic', 'Fiction, coming of age']",,4.12,Naomi Novik,Fantasy,"Dark Academia, Young Adult"
The House in the Cerulean Sea,TJ Klune,,Read,9781250891884,5,Yes,The House in the Cerulean Sea,1/31/2023,['Tom Doherty Associates'],,"['Serie:Cerulean_Chronicles', 'American literature', 'nyt:trade-fiction-paperback=2021-01-17', 'New York Times bestseller', 'LGBTQ science fiction & fantasy', 'LGBTQ young adult', 'Fiction, fantasy, paranormal', 'Fiction, occult & supernatural', 'Magic', 'Fiction', 'Orphans', 'Children', 'Orphanages', 'Institutional care', 'Social workers', 'Mythical animals', 'FICTION / Fantasy / Contemporary', 'FICTION / Fantasy / Humorous', 'FICTION / Fantasy / Romantic', 'End of the world']","Linus is an uptight caseworker with a heart of gold working for the department in charge of magical youth. When he goes to investigate an orphanage on an island with supposedly dangerous children and an enigmatic leader Arthur, heâ€™s expecting the worst. But it turns out he might be falling in love with Arthur and his charges.",4.5,,Fantasy,Cozy Fantasy
The Atlas Paradox,Olivie Blake,,Want to Read,9781250855107,,Yes,Atlas Paradox,2024,"['Doherty Associates, LLC, Tom']",432,,,3.51,Olivie Blake,Fantasy,Dark Academia
The Atlas Six,Olivie Blake,,Read,9781250854544,3.75,Yes,Atlas Six,2022,"['Doherty Associates, LLC, Tom']",416,"['nyt:combined-print-and-e-book-fiction=2022-03-20', 'New York Times bestseller', 'Magic', 'Fiction', 'Magicians', 'Secret societies', 'Scholars', 'SociÃ©tÃ©s secrÃ¨tes', 'Romans, nouvelles', 'Savants', 'FICTION / Fantasy / Contemporary', 'FICTION / Fantasy / Dark Fantasy', 'FICTION / Fantasy / Urban', 'Teenagers', 'Contests']",,3.2,Olivie Blake,Fantasy,Dark Academia
They Both Die at the End,Adam Silvera,,Read,9780062457806,5,Yes,They Both Die at the End,2018,['HarperCollins Publishers'],400,"['Death', 'Romance fiction', 'Gay men', 'Adventure and adventurers', 'Juvenile fiction', 'Fiction', 'Hispanic Americans', 'Gays', 'Love', 'Friendship', ""Children's fiction"", 'Death, fiction', 'Friendship, fiction', 'Love, fiction', 'Adventure and adventurers, fiction', 'Hispanic americans, fiction', 'New york (n.y.), fiction', 'Homosexuality, fiction', 'LGBTQ young adult', 'New York Times bestseller']","Adam Silvera reminds us that thereâ€™s no life without death and no love without loss in this devastating yet uplifting story about two people whose lives change over the course of one unforgettable day.

On September 5, a little after midnight, Death-Cast calls Mateo Torrez and Rufus Emeterio to give them some bad news: Theyâ€™re going to die today.

Mateo and Rufus are total strangers, but, for different reasons, theyâ€™re both looking to make a new friend on their End Day. The good news: Thereâ€™s an app for that. Itâ€™s called the Last Friend, and through it, Rufus and Mateo are about to meet up for one last great adventureâ€”to live a lifetime in a single day.

In the tradition of Before I Fall and If I Stay, They Both Die at the End is a tour de force from acclaimed author Adam Silvera, whose debut, More Happy Than Not, the New York Times called â€œprofound.â€

Plus don't miss The First to Die at the End: #1 New York Times bestselling author Adam Silvera returns to the universe of international phenomenon They Both Die at the End in this prequel. New star-crossed lovers are put to the test on the first day of Death-Castâ€™s fateful calls.",4.076923077,Adam Silvera,Science Fiction,"Dystopian, Young Adult"
